Repository,Path,BackendType,BackendRegion,Providers,Modules,Resources,Variables,Outputs,UntaggedResources
terraform-aws-security-hub,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-security-hub,none,none,1,8,5,65,6,5
terraform-aws-ssm-iam-role,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ssm-iam-role,none,none,0,1,3,13,4,3
terraform-aws-sns-cloudwatch-sns-alarms,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-sns-cloudwatch-sns-alarms,none,none,1,4,1,45,1,1
terraform-aws-ses,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ses,none,none,2,5,12,56,20,12
terraform-aws-ses-lambda-forwarder,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ses-lambda-forwarder,none,none,1,4,16,56,34,16
terraform-aws-ssm-parameter-store-policy-documents,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ssm-parameter-store-policy-documents,none,none,0,0,0,4,5,0
terraform-aws-sns-topic,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-sns-topic,none,none,1,4,8,55,11,8
terraform-aws-multi-az-subnets,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-multi-az-subnets,none,none,1,9,13,56,19,13
github-action-atmos-terraform-select-components,/home/family/src/gh-repos-clone/cloudposse/github-action-atmos-terraform-select-components,none,none,0,0,1,1,0,1
terraform-aws-kinesis-stream,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-kinesis-stream,none,none,1,3,2,46,7,2
terraform-aws-eks-fargate-profile,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-eks-fargate-profile,none,none,1,14,3,73,26,3
terraform-aws-ssm-tls-ssh-key-pair,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ssm-tls-ssh-key-pair,none,none,1,4,6,50,10,6
terraform-aws-ec2-ami-backup,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ec2-ami-backup,none,none,0,4,11,11,0,11
terraform-aws-step-functions,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-step-functions,none,none,1,5,8,66,12,8
terraform-aws-mwaa,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-mwaa,none,none,1,15,1,120,32,1
terraform-aws-organization-access-group,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-organization-access-group,none,none,1,2,5,11,8,5
terraform-aws-ec2-instance-group,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ec2-instance-group,none,none,1,11,10,98,52,10
terraform-aws-lb-s3-bucket,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-lb-s3-bucket,none,none,1,5,0,56,8,0
terraform-aws-github-action-token-rotator,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-github-action-token-rotator,none,none,1,7,5,52,12,5
terraform-aws-guardduty,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-guardduty,none,none,1,5,4,45,5,4
terraform-aws-ecr,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ecr,none,none,1,7,5,78,14,5
terraform-aws-eks-workers,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-eks-workers,none,none,1,7,12,128,37,12
terraform-aws-dynamodb,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-dynamodb,none,none,1,5,3,67,19,3
terraform-aws-health-events,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-health-events,none,none,1,7,2,42,4,2
terraform-aws-emr-cluster,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-emr-cluster,none,none,1,18,26,136,23,26
terraform-aws-lambda-function,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-lambda-function,none,none,1,9,20,100,12,20
terraform-aws-dms,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-dms,none,none,2,21,16,181,37,16
terraform-aws-budgets,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-budgets,none,none,1,6,1,58,20,1
terraform-aws-ec2-client-vpn,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ec2-client-vpn,none,none,2,10,5,92,20,5
terraform-aws-macie,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-macie,none,none,1,6,5,43,6,5
terraform-aws-datadog-lambda-forwarder,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-datadog-lambda-forwarder,none,none,1,13,29,84,8,29
terraform-aws-ec2-instance,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ec2-instance,none,none,1,15,20,142,65,20
terraform-aws-cloudwatch-flow-logs,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-cloudwatch-flow-logs,none,none,0,5,10,19,8,10
terraform-aws-rds-cloudwatch-sns-alarms,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-rds-cloudwatch-sns-alarms,none,none,1,6,11,42,3,11
terraform-aws-nlb,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-nlb,none,none,1,9,10,116,23,10
packages,/home/family/src/gh-repos-clone/cloudposse/packages,none,none,0,0,0,0,0,0
terraform-aws-cloudformation-stack,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-cloudformation-stack,none,none,1,3,1,49,6,1
terraform-aws-cloudtrail,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-cloudtrail,none,none,1,4,1,57,9,1
terraform-aws-athena,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-athena,none,none,1,3,6,57,10,6
terraform-aws-cloudfront-s3-cdn,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-cloudfront-s3-cdn,none,none,1,19,24,154,35,24
terraform-aws-ecs-cloudwatch-sns-alarms,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ecs-cloudwatch-sns-alarms,none,none,1,11,6,95,34,6
