Repository,Path,BackendType,BackendRegion,Providers,Modules,Resources,Variables,Outputs,UntaggedResources
terraform-aws-firewall-manager,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-firewall-manager,none,none,1,14,11,62,2,11
docs,/home/family/src/gh-repos-clone/cloudposse/docs,none,none,0,0,0,0,0,0
terraform-aws-efs,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-efs,none,none,1,7,5,69,27,5
terraform-aws-alb-ingress,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-alb-ingress,none,none,1,7,10,112,19,10
terraform-aws-s3-bucket,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-s3-bucket,none,none,2,8,26,117,33,26
terraform-aws-lakeformation,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-lakeformation,none,none,2,4,5,48,3,5
terraform-aws-ecs-cloudwatch-autoscaling,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ecs-cloudwatch-autoscaling,none,none,1,9,4,73,23,4
terraform-aws-glue,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-glue,none,none,2,27,11,304,49,11
terraform-aws-ec2-autoscale-group,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ec2-autoscale-group,none,none,1,5,5,117,28,5
terraform-provider-atmos,/home/family/src/gh-repos-clone/cloudposse/terraform-provider-atmos,none,none,0,0,0,0,0,0
terraform-aws-vpn-connection,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-vpn-connection,none,none,1,4,9,97,28,9
terraform-aws-vpc-peering-multi-account,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-vpc-peering-multi-account,none,none,1,10,8,93,11,8
terraform-example-module,/home/family/src/gh-repos-clone/cloudposse/terraform-example-module,none,none,1,3,1,40,6,1
terraform-aws-ecs-codepipeline,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ecs-codepipeline,none,none,1,14,18,110,43,18
terraform-github-repository-webhooks,/home/family/src/gh-repos-clone/cloudposse/terraform-github-repository-webhooks,none,none,2,3,1,49,2,1
terraform-external-module-artifact,/home/family/src/gh-repos-clone/cloudposse/terraform-external-module-artifact,none,none,1,3,0,48,8,0
terraform-github-repository,/home/family/src/gh-repos-clone/cloudposse/terraform-github-repository,none,none,1,3,1,40,6,1
terraform-module-test,/home/family/src/gh-repos-clone/cloudposse/terraform-module-test,none,none,2,3,2,40,7,2
terraform-provider-context,/home/family/src/gh-repos-clone/cloudposse/terraform-provider-context,none,none,1,0,0,0,3,0
terraform-provider-awsutils,/home/family/src/gh-repos-clone/cloudposse/terraform-provider-awsutils,none,none,1,0,8,0,6,8
terraform-aws-lambda-elasticsearch-cleanup,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-lambda-elasticsearch-cleanup,none,none,1,8,12,67,19,12
terraform-aws-utils,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-utils,none,none,1,4,1,39,23,1
terraform-null-label,/home/family/src/gh-repos-clone/cloudposse/terraform-null-label,none,none,1,56,2,71,114,2
terraform-aws-inspector,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-inspector,none,none,1,7,4,50,8,4
terraform-aws-cloudtrail-cloudwatch-alarms,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-cloudtrail-cloudwatch-alarms,none,none,1,9,9,47,6,9
terraform-aws-iam-account-settings,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-iam-account-settings,none,none,1,2,2,28,5,2
terraform-aws-tfstate-backend,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-tfstate-backend,none,none,1,6,16,99,12,16
terraform-aws-transit-gateway,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-transit-gateway,none,none,1,22,11,104,31,11
